2021-04-15 07:10:29,287 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Thu Apr 15 07:10:29 UTC 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-04-15 07:10:30,757 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2021-04-15 07:10:31,130 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-04-15 07:10:31,455 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:activemq-40469-1618470631145-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2021-04-15 07:10:31,474 | INFO  | Listening for connections at: tcp://activemq:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-15 07:10:31,476 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2021-04-15 07:10:31,480 | INFO  | Listening for connections at: amqp://activemq:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-15 07:10:31,482 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2021-04-15 07:10:31,485 | INFO  | Listening for connections at: stomp://activemq:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-15 07:10:31,487 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2021-04-15 07:10:31,491 | INFO  | Listening for connections at: mqtt://activemq:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-15 07:10:31,493 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2021-04-15 07:10:31,757 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@4716be8b{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2021-04-15 07:10:31,792 | INFO  | Listening for connections at ws://activemq:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2021-04-15 07:10:31,793 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2021-04-15 07:10:31,795 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:activemq-40469-1618470631145-0:1) started | org.apache.activemq.broker.BrokerService | main
2021-04-15 07:10:31,796 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2021-04-15 07:10:32,237 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2021-04-15 07:10:32,541 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-15 07:10:32,542 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-15 07:10:32,585 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2021-04-15 07:10:32,861 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2021-04-15 07:10:32,943 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2021-04-15 07:11:24,385 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Thu Apr 15 07:11:24 UTC 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-04-15 07:11:26,449 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2021-04-15 07:11:26,512 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-15 07:11:26,617 | INFO  | Recovering from the journal @1:622 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-15 07:11:26,619 | INFO  | Recovery replayed 1 operations from the journal in 0.078 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-15 07:11:26,656 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-04-15 07:11:27,250 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:activemq-35191-1618470686699-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2021-04-15 07:11:27,282 | INFO  | Listening for connections at: tcp://activemq:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-15 07:11:27,289 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2021-04-15 07:11:27,296 | INFO  | Listening for connections at: amqp://activemq:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
